GENESIS-Tabelle: 12521-0008
Ausländer: Deutschland, Stichtag, Geschlecht,;;;;
Aufenthaltstitel/Ausgewählte Aufenthaltstitel,;;;;
Ländergruppierungen/Staatsangehörigkeit;;;;
Ausländerstatistik;;;;
Deutschland;;;;
Ausländer (Anzahl);;;;
;;;männlich;weiblich
31.12.2018;Drittstaaten zu EU-27 (bis 30.06.2013);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;150695;69710
31.12.2018;Drittstaaten zu EU-27 (bis 30.06.2013);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;644255;408175
31.12.2018;Drittstaaten zu EU-27 (bis 30.06.2013);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;299500;500895
31.12.2018;Drittstaaten zu EU-27 (bis 30.06.2013);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;76340;59960
31.12.2018;Drittstaaten zu EU-27 (bis 30.06.2013);Antrag auf einen Aufenthaltstitel gestellt;145305;115465
31.12.2018;Drittstaaten zu EU-27 (bis 30.06.2013);Duldung;122565;58030
31.12.2018;Drittstaaten zu EU-27 (bis 30.06.2013);Aufenthaltsgestattung;203390;93700
31.12.2018;Drittstaaten zu EU-27 (bis 30.06.2013);Ohne Aufenthaltstitel, Duldung oder Gestattung;201600;143525
31.12.2018;EU-25 (bis 31.12.2006);Freizügigkeit nach EU-Recht;1827910;1530920
31.12.2018;EU-25 (bis 31.12.2006);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5;-
31.12.2018;EU-25 (bis 31.12.2006);Unbefristeter Aufenthaltstitel;5;5
31.12.2018;EU-25 (bis 31.12.2006);Befristeter Aufenthaltstitel;40;110
31.12.2018;EU-25 (bis 31.12.2006);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-
31.12.2018;EU-25 (bis 31.12.2006);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-
31.12.2018;EU-25 (bis 31.12.2006);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;10;25
31.12.2018;EU-25 (bis 31.12.2006);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;30;80
31.12.2018;EU-25 (bis 31.12.2006);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;5;5
31.12.2018;EU-25 (bis 31.12.2006);Antrag auf einen Aufenthaltstitel gestellt;5;10
31.12.2018;EU-25 (bis 31.12.2006);Duldung;40;15
31.12.2018;EU-25 (bis 31.12.2006);Aufenthaltsgestattung;5;5
31.12.2018;EU-25 (bis 31.12.2006);Ohne Aufenthaltstitel, Duldung oder Gestattung;1415;305
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Freizügigkeit nach EU-Recht;841005;697650
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;5230;3870
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Unbefristeter Aufenthaltstitel;1231035;1260760
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Befristeter Aufenthaltstitel;1291770;1137970
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;120975;99210
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;150695;69710
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;644265;408180
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;299500;500905
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;76340;59960
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Antrag auf einen Aufenthaltstitel gestellt;145310;115470
31.12.2018;Drittstaaten zu EU-25 (bis 31.12.2006);Duldung;122580;58040
