GENESIS-Tabelle: 12521-0008
Ausländer: Deutschland, Stichtag, Geschlecht,;;;;
Aufenthaltstitel/Ausgewählte Aufenthaltstitel,;;;;
Ländergruppierungen/Staatsangehörigkeit;;;;
Ausländerstatistik;;;;
Deutschland;;;;
Ausländer (Anzahl);;;;
;;;männlich;weiblich
31.12.2018;Nordafrika;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;4290;1210
31.12.2018;Nordafrika;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;5560;3555
31.12.2018;Nordafrika;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;15970;22155
31.12.2018;Nordafrika;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;4130;1925
31.12.2018;Nordafrika;Antrag auf einen Aufenthaltstitel gestellt;7700;4160
31.12.2018;Nordafrika;Duldung;6935;1235
31.12.2018;Nordafrika;Aufenthaltsgestattung;4540;1645
31.12.2018;Nordafrika;Ohne Aufenthaltstitel, Duldung oder Gestattung;10775;4515
31.12.2018;Westafrika;Freizügigkeit nach EU-Recht;1865;1315
31.12.2018;Westafrika;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;15;25
31.12.2018;Westafrika;Unbefristeter Aufenthaltstitel;16440;10500
31.12.2018;Westafrika;Befristeter Aufenthaltstitel;28630;28320
31.12.2018;Westafrika;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;3340;1125
31.12.2018;Westafrika;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;895;420
31.12.2018;Westafrika;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;9155;8110
31.12.2018;Westafrika;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;12860;17455
31.12.2018;Westafrika;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;2380;1205
31.12.2018;Westafrika;Antrag auf einen Aufenthaltstitel gestellt;5185;3570
31.12.2018;Westafrika;Duldung;18890;4495
31.12.2018;Westafrika;Aufenthaltsgestattung;28610;10075
31.12.2018;Westafrika;Ohne Aufenthaltstitel, Duldung oder Gestattung;10690;4950
31.12.2018;Zentralafrika;Freizügigkeit nach EU-Recht;430;235
31.12.2018;Zentralafrika;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;10;5
31.12.2018;Zentralafrika;Unbefristeter Aufenthaltstitel;3940;3010
31.12.2018;Zentralafrika;Befristeter Aufenthaltstitel;11030;9825
31.12.2018;Zentralafrika;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;3655;2445
31.12.2018;Zentralafrika;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;775;370
31.12.2018;Zentralafrika;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;3455;2210
31.12.2018;Zentralafrika;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;2725;4450
31.12.2018;Zentralafrika;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;420;350
31.12.2018;Zentralafrika;Antrag auf einen Aufenthaltstitel gestellt;2570;2060
31.12.2018;Zentralafrika;Duldung;2320;650
31.12.2018;Zentralafrika;Aufenthaltsgestattung;3760;1210
31.12.2018;Zentralafrika;Ohne Aufenthaltstitel, Duldung oder Gestattung;2295;1260
31.12.2018;Ostafrika;Freizügigkeit nach EU-Recht;145;320
31.12.2018;Ostafrika;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;-;5
31.12.2018;Ostafrika;Unbefristeter Aufenthaltstitel;6780;9495
31.12.2018;Ostafrika;Befristeter Aufenthaltstitel;57690;36025
31.12.2018;Ostafrika;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;1355;1530
31.12.2018;Ostafrika;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;615;1320
31.12.2018;Ostafrika;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;50810;25065
31.12.2018;Ostafrika;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;4380;7495
31.12.2018;Ostafrika;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;530;615
31.12.2018;Ostafrika;Antrag auf einen Aufenthaltstitel gestellt;5070;3300
31.12.2018;Ostafrika;Duldung;4755;1965
31.12.2018;Ostafrika;Aufenthaltsgestattung;13460;6690
31.12.2018;Ostafrika;Ohne Aufenthaltstitel, Duldung oder Gestattung;6425;4025
31.12.2018;Südafrika;Freizügigkeit nach EU-Recht;185;300
31.12.2018;Südafrika;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;-;5
31.12.2018;Südafrika;Unbefristeter Aufenthaltstitel;3380;2870
31.12.2018;Südafrika;Befristeter Aufenthaltstitel;3325;4350
31.12.2018;Südafrika;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;480;595
31.12.2018;Südafrika;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;675;890
31.12.2018;Südafrika;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;610;675
31.12.2018;Südafrika;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;1215;1875
31.12.2018;Südafrika;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;340;315
31.12.2018;Südafrika;Antrag auf einen Aufenthaltstitel gestellt;550;645
31.12.2018;Südafrika;Duldung;220;160
31.12.2018;Südafrika;Aufenthaltsgestattung;370;385
31.12.2018;Südafrika;Ohne Aufenthaltstitel, Duldung oder Gestattung;680;730
31.12.2018;Amerika;Freizügigkeit nach EU-Recht;4860;8705
31.12.2018;Amerika;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;1390;900
31.12.2018;Amerika;Unbefristeter Aufenthaltstitel;46730;55970
31.12.2018;Amerika;Befristeter Aufenthaltstitel;61445;64820
31.12.2018;Amerika;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;15720;15710
31.12.2018;Amerika;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;20430;14295
31.12.2018;Amerika;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;660;685
31.12.2018;Amerika;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;19315;28790
31.12.2018;Amerika;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;5315;5345
31.12.2018;Amerika;Antrag auf einen Aufenthaltstitel gestellt;7630;7915
31.12.2018;Amerika;Duldung;345;325
31.12.2018;Amerika;Aufenthaltsgestattung;535;400
31.12.2018;Amerika;Ohne Aufenthaltstitel, Duldung oder Gestattung;11120;10490
31.12.2018;Nordamerika;Freizügigkeit nach EU-Recht;1590;1625
31.12.2018;Nordamerika;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;1325;835
31.12.2018;Nordamerika;Unbefristeter Aufenthaltstitel;32175;24810
31.12.2018;Nordamerika;Befristeter Aufenthaltstitel;31685;27810
31.12.2018;Nordamerika;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;5545;5810
31.12.2018;Nordamerika;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;12625;8715
31.12.2018;Nordamerika;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;155;130
31.12.2018;Nordamerika;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;9670;9900
31.12.2018;Nordamerika;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;3695;3250
31.12.2018;Nordamerika;Antrag auf einen Aufenthaltstitel gestellt;3365;2850
31.12.2018;Nordamerika;Duldung;60;35
31.12.2018;Nordamerika;Aufenthaltsgestattung;10;10
31.12.2018;Nordamerika;Ohne Aufenthaltstitel, Duldung oder Gestattung;5290;4305
31.12.2018;Mittelamerika und Karibik;Freizügigkeit nach EU-Recht;760;1405
31.12.2018;Mittelamerika und Karibik;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;20;25
31.12.2018;Mittelamerika und Karibik;Unbefristeter Aufenthaltstitel;5250;8165
31.12.2018;Mittelamerika und Karibik;Befristeter Aufenthaltstitel;8840;10135
31.12.2018;Mittelamerika und Karibik;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;2720;2180
31.12.2018;Mittelamerika und Karibik;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;2075;1370
31.12.2018;Mittelamerika und Karibik;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;240;225
31.12.2018;Mittelamerika und Karibik;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;3275;5650
31.12.2018;Mittelamerika und Karibik;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;535;710
31.12.2018;Mittelamerika und Karibik;Antrag auf einen Aufenthaltstitel gestellt;1245;1255
31.12.2018;Mittelamerika und Karibik;Duldung;160;125
31.12.2018;Mittelamerika und Karibik;Aufenthaltsgestattung;130;70
31.12.2018;Mittelamerika und Karibik;Ohne Aufenthaltstitel, Duldung oder Gestattung;1905;1930
31.12.2018;Südamerika;Freizügigkeit nach EU-Recht;2510;5675
31.12.2018;Südamerika;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;40;45
31.12.2018;Südamerika;Unbefristeter Aufenthaltstitel;9305;22995
31.12.2018;Südamerika;Befristeter Aufenthaltstitel;20920;26880
31.12.2018;Südamerika;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;7460;7720
31.12.2018;Südamerika;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;5730;4210
31.12.2018;Südamerika;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;265;330
31.12.2018;Südamerika;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;6375;13235
31.12.2018;Südamerika;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;1090;1385
31.12.2018;Südamerika;Antrag auf einen Aufenthaltstitel gestellt;3015;3815
31.12.2018;Südamerika;Duldung;120;170
31.12.2018;Südamerika;Aufenthaltsgestattung;395;320
31.12.2018;Südamerika;Ohne Aufenthaltstitel, Duldung oder Gestattung;3930;4255
31.12.2018;Asien;Freizügigkeit nach EU-Recht;7190;9215
31.12.2018;Asien;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;205;215
31.12.2018;Asien;Unbefristeter Aufenthaltstitel;165740;204815
31.12.2018;Asien;Befristeter Aufenthaltstitel;768185;610620
31.12.2018;Asien;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;71035;55525
31.12.2018;Asien;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;55930;25830
31.12.2018;Asien;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;510280;310760
31.12.2018;Asien;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;111350;205490
31.12.2018;Asien;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;19590;13015
31.12.2018;Asien;Antrag auf einen Aufenthaltstitel gestellt;75545;58490
31.12.2018;Asien;Duldung;53605;20645
31.12.2018;Asien;Aufenthaltsgestattung;126040;54485
31.12.2018;Asien;Ohne Aufenthaltstitel, Duldung oder Gestattung;84735;58235
31.12.2018;Vorderasien;Freizügigkeit nach EU-Recht;2140;2405
31.12.2018;Vorderasien;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;55;50
31.12.2018;Vorderasien;Unbefristeter Aufenthaltstitel;60920;40520
31.12.2018;Vorderasien;Befristeter Aufenthaltstitel;517080;368360
31.12.2018;Vorderasien;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;13080;8710
31.12.2018;Vorderasien;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;8200;4440
31.12.2018;Vorderasien;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;429440;253340
31.12.2018;Vorderasien;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;61905;97980
31.12.2018;Vorderasien;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;4450;3890
31.12.2018;Vorderasien;Antrag auf einen Aufenthaltstitel gestellt;46785;34585
31.12.2018;Vorderasien;Duldung;24600;13770
31.12.2018;Vorderasien;Aufenthaltsgestattung;58785;37340
31.12.2018;Vorderasien;Ohne Aufenthaltstitel, Duldung oder Gestattung;41795;29635
31.12.2018;Süd- und Südostasien;Freizügigkeit nach EU-Recht;4285;4175
31.12.2018;Süd- und Südostasien;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;110;105
31.12.2018;Süd- und Südostasien;Unbefristeter Aufenthaltstitel;58780;99675
31.12.2018;Süd- und Südostasien;Befristeter Aufenthaltstitel;101100;99345
31.12.2018;Süd- und Südostasien;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;28115;15405
31.12.2018;Süd- und Südostasien;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;26290;9390
31.12.2018;Süd- und Südostasien;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;9050;4840
31.12.2018;Süd- und Südostasien;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;26620;64465
31.12.2018;Süd- und Südostasien;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;11025;5245
31.12.2018;Süd- und Südostasien;Antrag auf einen Aufenthaltstitel gestellt;12415;9790
31.12.2018;Süd- und Südostasien;Duldung;15275;2950
31.12.2018;Süd- und Südostasien;Aufenthaltsgestattung;14235;2950
31.12.2018;Süd- und Südostasien;Ohne Aufenthaltstitel, Duldung oder Gestattung;20015;12010
31.12.2018;Ost- und Zentralasien;Freizügigkeit nach EU-Recht;765;2640
31.12.2018;Ost- und Zentralasien;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;40;60
31.12.2018;Ost- und Zentralasien;Unbefristeter Aufenthaltstitel;46040;64620
31.12.2018;Ost- und Zentralasien;Befristeter Aufenthaltstitel;150005;142915
31.12.2018;Ost- und Zentralasien;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;29835;31405
31.12.2018;Ost- und Zentralasien;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;21445;12000
31.12.2018;Ost- und Zentralasien;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;71790;52580
31.12.2018;Ost- und Zentralasien;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;22825;43045
31.12.2018;Ost- und Zentralasien;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;4110;3880
31.12.2018;Ost- und Zentralasien;Antrag auf einen Aufenthaltstitel gestellt;16345;14115
31.12.2018;Ost- und Zentralasien;Duldung;13730;3925
31.12.2018;Ost- und Zentralasien;Aufenthaltsgestattung;53020;14195
31.12.2018;Ost- und Zentralasien;Ohne Aufenthaltstitel, Duldung oder Gestattung;22930;16590
31.12.2018;Australien und Ozeanien;Freizügigkeit nach EU-Recht;295;385
31.12.2018;Australien und Ozeanien;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;25;15
31.12.2018;Australien und Ozeanien;Unbefristeter Aufenthaltstitel;2780;2375
31.12.2018;Australien und Ozeanien;Befristeter Aufenthaltstitel;5550;4335
31.12.2018;Australien und Ozeanien;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;760;675
31.12.2018;Australien und Ozeanien;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;2945;2020
31.12.2018;Australien und Ozeanien;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;20;15
31.12.2018;Australien und Ozeanien;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;1280;1135
31.12.2018;Australien und Ozeanien;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;540;490
31.12.2018;Australien und Ozeanien;Antrag auf einen Aufenthaltstitel gestellt;510;325
31.12.2018;Australien und Ozeanien;Duldung;5;-
31.12.2018;Australien und Ozeanien;Aufenthaltsgestattung;-;-
31.12.2018;Australien und Ozeanien;Ohne Aufenthaltstitel, Duldung oder Gestattung;705;490
31.12.2018;Gastarbeiterländer;Freizügigkeit nach EU-Recht;987595;800820
31.12.2018;Gastarbeiterländer;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;2275;1950
31.12.2018;Gastarbeiterländer;Unbefristeter Aufenthaltstitel;877120;800275
31.12.2018;Gastarbeiterländer;Befristeter Aufenthaltstitel;240805;245520
31.12.2018;Gastarbeiterländer;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;13960;8445
31.12.2018;Gastarbeiterländer;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;52700;13635
31.12.2018;Gastarbeiterländer;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;31035;32395
31.12.2018;Gastarbeiterländer;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;108635;163805
31.12.2018;Gastarbeiterländer;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;34480;27235
31.12.2018;Gastarbeiterländer;Antrag auf einen Aufenthaltstitel gestellt;35300;26420
31.12.2018;Gastarbeiterländer;Duldung;21780;17010
31.12.2018;Gastarbeiterländer;Aufenthaltsgestattung;12095;6485
31.12.2018;Gastarbeiterländer;Ohne Aufenthaltstitel, Duldung oder Gestattung;47880;33870
31.12.2018;Gebiet des ehemaligen Jugoslawien;Freizügigkeit nach EU-Recht;241385;213735
31.12.2018;Gebiet des ehemaligen Jugoslawien;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;425;415
31.12.2018;Gebiet des ehemaligen Jugoslawien;Unbefristeter Aufenthaltstitel;221375;204265
31.12.2018;Gebiet des ehemaligen Jugoslawien;Befristeter Aufenthaltstitel;133320;118565
31.12.2018;Gebiet des ehemaligen Jugoslawien;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;3005;2945
31.12.2018;Gebiet des ehemaligen Jugoslawien;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;45525;11125
31.12.2018;Gebiet des ehemaligen Jugoslawien;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;21280;22980
31.12.2018;Gebiet des ehemaligen Jugoslawien;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;49610;75495
31.12.2018;Gebiet des ehemaligen Jugoslawien;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;13900;6020
31.12.2018;Gebiet des ehemaligen Jugoslawien;Antrag auf einen Aufenthaltstitel gestellt;19240;15295
31.12.2018;Gebiet des ehemaligen Jugoslawien;Duldung;15860;15010
31.12.2018;Gebiet des ehemaligen Jugoslawien;Aufenthaltsgestattung;1535;1385
31.12.2018;Gebiet des ehemaligen Jugoslawien;Ohne Aufenthaltstitel, Duldung oder Gestattung;27060;18510
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Freizügigkeit nach EU-Recht;7315;6380
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;210;210
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Unbefristeter Aufenthaltstitel;130315;119060
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Befristeter Aufenthaltstitel;82590;78485
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;1175;1085
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;22685;4280
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;16305;17600
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;34275;52030
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;8150;3485
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Antrag auf einen Aufenthaltstitel gestellt;12665;10695
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Duldung;11330;10670
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Aufenthaltsgestattung;930;865
31.12.2018;Gebiet des ehemaligen Serbien und Montenegro;Ohne Aufenthaltstitel, Duldung oder Gestattung;14890;9935
31.12.2018;Gebiet der ehemaligen Sowjetunion;Freizügigkeit nach EU-Recht;50340;67375
31.12.2018;Gebiet der ehemaligen Sowjetunion;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;85;80
31.12.2018;Gebiet der ehemaligen Sowjetunion;Unbefristeter Aufenthaltstitel;105555;179135
31.12.2018;Gebiet der ehemaligen Sowjetunion;Befristeter Aufenthaltstitel;64230;108820
31.12.2018;Gebiet der ehemaligen Sowjetunion;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;8050;14995
31.12.2018;Gebiet der ehemaligen Sowjetunion;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;10010;11290
31.12.2018;Gebiet der ehemaligen Sowjetunion;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;12040;14375
31.12.2018;Gebiet der ehemaligen Sowjetunion;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;29895;62150
31.12.2018;Gebiet der ehemaligen Sowjetunion;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;4235;6010
31.12.2018;Gebiet der ehemaligen Sowjetunion;Antrag auf einen Aufenthaltstitel gestellt;7220;10535
31.12.2018;Gebiet der ehemaligen Sowjetunion;Duldung;12585;11565
31.12.2018;Gebiet der ehemaligen Sowjetunion;Aufenthaltsgestattung;19895;18180
31.12.2018;Gebiet der ehemaligen Sowjetunion;Ohne Aufenthaltstitel, Duldung oder Gestattung;20705;20405
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Freizügigkeit nach EU-Recht;57550;64110
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;-;-
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Unbefristeter Aufenthaltstitel;-;-
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Befristeter Aufenthaltstitel;-;10
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;-;-
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;-;10
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;-;-
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Antrag auf einen Aufenthaltstitel gestellt;-;-
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Duldung;-;-
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Aufenthaltsgestattung;-;-
31.12.2018;Gebiet der ehemaligen Tschechoslowakei;Ohne Aufenthaltstitel, Duldung oder Gestattung;135;40
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Freizügigkeit nach EU-Recht;66210;39970
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;-;-
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Unbefristeter Aufenthaltstitel;250;220
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Befristeter Aufenthaltstitel;40;75
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;10;15
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;20;15
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Befr. AE.aus völkerr.,human.,pol.Gründen,AufenthG;-;-
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Befr.Aufenthaltserlaubn. a.fam. Gründen, AufenthG;5;20
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;10;20
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Antrag auf einen Aufenthaltstitel gestellt;5;5
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Duldung;-;-
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Aufenthaltsgestattung;-;-
31.12.2018;Vereinigtes Königreich einschl.brit.Überseegebiete;Ohne Aufenthaltstitel, Duldung oder Gestattung;85;55
__________
© Statistisches Bundesamt (Destatis), 2020
Stand: 08.04.2020 / 17:07:55
